cluster_id,id_pista,name,MapBiom,OSM,OSMPoly,Manual,Dimas,id,i,col,row,area,area_rel,start_date,end_date
296,47,Pista 47,1,0,0,1,1,C70L50,5,70,50,768713552.1703043,99.47498918772423,NA,NA
297,890363,Pista do Limão,1,0,1,1,0,C70L51,5,70,51,769051374.8078294,99.51870495560723,NA,NA
298,890364,Fazenda Serra Dourada,1,0,1,1,0,C70L51,5,70,51,769051374.8078294,99.51870495560723,NA,NA
299,3,Pista 3,1,0,0,1,1,C70L51,5,70,51,769051374.8078294,99.51870495560723,NA,NA
300,2288,Pista 2288,1,0,0,0,1,C71L42,5,71,42,765484697.928081,99.05716093436891,NA,NA
301,69513,Boa Esperança,1,1,0,0,1,C72L43,5,72,43,765939399.7249706,99.11600139087125,NA,NA
302,919,Pista 919,1,0,0,0,1,C71L43,5,71,43,765939399.7249548,99.1160013908692,NA,NA
303,88225,Fazenda Agropecuária FR Ltda,0,1,0,0,0,C71L43,5,71,43,765939399.7249548,99.1160013908692,NA,NA
304,66975,Fazenda Beira Rio,0,1,0,0,0,C71L43,5,71,43,765939399.7249548,99.1160013908692,NA,NA
305,2413,Pista 2413,1,0,0,0,1,C70L43,5,70,43,765939399.7249771,99.11600139087209,NA,NA
306,2423,Pista 2423,1,0,0,0,1,C71L44,5,71,44,766379519.0107001,99.17295480487786,NA,NA
307,2504,Pista 2504,1,0,0,0,1,C70L44,5,70,44,766379519.0107316,99.17295480488193,NA,NA
308,69289,Nossa Senhora da Conceição,1,1,0,0,1,C71L45,5,71,45,766805047.4053739,99.22802009199259,NA,NA
309,80557,Pista Santa Lúcia,1,1,0,0,0,C71L45,5,71,45,766805047.4053739,99.22802009199259,NA,NA
310,1191,Pista 1191,1,0,0,0,0,C72L45,5,72,45,766805047.4054179,99.22802009199829,NA,NA
311,69507,Santos Dumont,1,1,0,0,1,C72L45,5,72,45,766805047.4054179,99.22802009199829,NA,NA
312,2489,Pista 2489,1,0,0,0,1,C70L46,5,70,46,767215976.8068969,99.28119620376793,NA,NA
313,203185,NA,0,1,0,0,0,C70L46,5,70,46,767215976.8068969,99.28119620376793,NA,NA
314,2490,Pista 2490,1,0,0,0,1,C71L46,5,71,46,767215976.806853,99.28119620376225,NA,NA
315,207610,NA,1,1,0,0,1,C70L47,5,70,47,767612299.3910347,99.33248212771275,NA,NA
316,2248,Pista 2248,1,0,0,0,1,C71L47,5,71,47,767612299.3909863,99.33248212770648,NA,NA
317,2441,Pista 2441,1,0,0,0,1,C71L47,5,71,47,767612299.3909863,99.33248212770648,NA,NA
318,2254,Pista 2254,1,0,0,0,1,C71L47,5,71,47,767612299.3909863,99.33248212770648,NA,NA
319,2342,Pista 2342,1,0,0,0,1,C70L47,5,70,47,767612299.3910347,99.33248212771275,NA,NA
320,69502,Pista Comunidade São Domingos,1,1,0,0,0,C71L48,5,71,48,767994007.6117377,99.38187688733431,NA,NA
321,2243,Pista 2243,1,0,0,0,0,C72L48,5,72,48,767994007.6117647,99.38187688733781,NA,NA
322,68474,Água Branca,1,1,0,0,1,C70L48,5,70,48,767994007.6117673,99.38187688733814,NA,NA
323,685600,Gana Gold Mineração,1,1,0,0,0,C70L48,5,70,48,767994007.6117673,99.38187688733814,NA,NA
324,2244,Pista 2244,1,0,0,0,1,C71L48,5,71,48,767994007.6117377,99.38187688733431,NA,NA
325,2350,Pista 2350,1,0,0,0,1,C71L48,5,71,48,767994007.6117377,99.38187688733431,NA,NA
326,2454,Pista 2454,1,0,0,0,1,C70L49,5,70,49,768361094.201322,99.42937954216167,NA,NA
327,2353,Pista 2353,1,0,0,0,1,C71L49,5,71,49,768361094.2012599,99.42937954215363,NA,NA
328,2456,Pista 2456,1,0,0,0,0,C70L49,5,70,49,768361094.201322,99.42937954216167,NA,NA
329,2458,Pista 2458,1,0,0,0,1,C70L49,5,70,49,768361094.201322,99.42937954216167,NA,NA
330,1091,Pista 1091,1,0,0,0,1,C72L49,5,72,49,768361094.2013038,99.42937954215932,NA,NA
331,890361,Nações Unidas,1,0,1,0,0,C70L49,5,70,49,768361094.201322,99.42937954216167,NA,NA
332,77969,Garimpo Tocantinzinho,1,1,0,0,1,C70L49,5,70,49,768361094.201322,99.42937954216167,NA,NA
333,9,Pista 9,1,0,0,1,1,C71L50,5,71,50,768713552.1702317,99.47498918771485,NA,NA
334,600,Pista 600,1,0,0,0,1,C72L52,5,72,52,769374555.6817666,99.56052601346398,NA,NA
335,1092,Pista 1092,1,0,0,0,1,C71L53,5,71,53,769683088.638549,99.60045156499528,NA,NA
336,1090,Pista 1090,1,0,0,0,1,C72L54,5,72,54,769976967.8038852,99.63848085004145,NA,NA
337,1646,Pista 1646,1,0,0,0,1,C72L55,5,72,55,770256187.5821012,99.67461314449704,NA,NA
338,1089,Pista 1089,1,0,0,0,0,C72L55,5,72,55,770256187.5821012,99.67461314449704,NA,NA
339,1071,Pista 1071,1,0,0,0,1,C76L39,5,76,39,764033185.4338249,98.86932869274351,NA,NA
