"data","precip_media_mm"
2017-01-01,41.875
2017-01-02,5.38194444444444
2017-01-03,18.7083333333333
2017-01-04,11.6597222222222
2017-01-05,3.00694444444444
2017-01-06,0.319444444444444
2017-01-07,5.40277777777778
2017-01-08,0.611111111111111
2017-01-09,0.0833333333333333
2017-01-10,1.0625
2017-01-11,1.20138888888889
2017-01-12,0.673611111111111
2017-01-13,3.63888888888889
2017-01-14,3.86111111111111
2017-01-15,10.5277777777778
2017-01-16,10.2083333333333
2017-01-17,40.1458333333333
2017-01-18,1.70138888888889
2017-01-19,0
2017-01-20,3.25
2017-01-21,2.63888888888889
2017-01-22,1.73611111111111
2017-01-23,5.97916666666667
2017-01-24,0
2017-01-25,0.0833333333333333
2017-01-26,2.25
2017-01-27,3.20138888888889
2017-01-28,32.3263888888889
2017-01-29,0
2017-01-30,2.27777777777778
2017-01-31,35.9305555555556
2017-02-01,0
2017-02-02,15.125
2017-02-03,1.1875
2017-02-04,1.95833333333333
2017-02-05,20.8611111111111
2017-02-06,35.6041666666667
2017-02-07,0
2017-02-08,20.3611111111111
2017-02-09,6.39583333333333
2017-02-10,18.7361111111111
2017-02-11,6.25
2017-02-12,13.5694444444444
2017-02-13,0.125
2017-02-14,3.77083333333333
2017-02-15,28.1805555555556
2017-02-16,1.41666666666667
2017-02-17,0
2017-02-18,0.298611111111111
2017-02-19,0.541666666666667
2017-02-20,5.43055555555556
2017-02-21,48.2638888888889
2017-02-22,3.63194444444444
2017-02-23,0
2017-02-24,7.36805555555556
2017-02-25,1.45138888888889
2017-02-26,0.145833333333333
2017-02-27,3.60416666666667
2017-02-28,5.875
2017-03-01,4.17361111111111
2017-03-02,14.6041666666667
2017-03-03,4.06944444444444
2017-03-04,0.972222222222222
2017-03-05,0.819444444444444
2017-03-06,5.34027777777778
2017-03-07,2.50694444444444
2017-03-08,3.19444444444444
2017-03-09,1.83333333333333
2017-03-10,0.430555555555556
2017-03-11,1.40277777777778
2017-03-12,0.395833333333333
2017-03-13,9.8125
2017-03-14,15.2291666666667
2017-03-15,4.79861111111111
2017-03-16,0
2017-03-17,17.375
2017-03-18,0
2017-03-19,26.5972222222222
2017-03-20,6.15277777777778
2017-03-21,2.6875
2017-03-22,0
2017-03-23,0
2017-03-24,5.11111111111111
2017-03-25,2.21527777777778
2017-03-26,3.34722222222222
